福山館	弓	1	平山水	1.00	1.02	0.96	2.98
福山館[改壱]	弓	2	平山水	1.03	1.05	0.99	3.07
松前城	鉄砲	4	平山水	1.08	1.09	1.07	3.24
松前城[改壱]	鉄砲	5	平山水	1.15	1.13	1.11	3.39
根城	槍	2	平山	0.97	1.03	1.05	3.05
根城[改壱]	槍	3	平山	1.02	1.05	1.07	3.14
不来方城	槌	2	平山	1.00	1.01	1.04	3.05
不来方城[改壱]	槌	3	平山	1.03	1.04	1.07	3.14
盛岡城	槌	4	平山	1.05	1.09	1.10	3.24
盛岡城[改壱]	槌	5	平山	1.09	1.13	1.17	3.39
千代城	刀	2	山	0.96	1.10	0.99	3.05
千代城[改壱]	刀	3	山	0.98	1.12	1.04	3.14
仙台城	刀	5	平山	1.21	1.13	1.02	3.36
仙台城[改壱]	刀	6	平山	1.25	1.17	1.09	3.51
東黒川館	刀	1	平山	1.02	0.96	1.00	2.98
東黒川館[改壱]	刀	2	平山	1.05	0.99	1.03	3.07
黒川城	刀	2	平山	1.03	1.02	1.00	3.05
黒川城[改壱]	刀	3	平山	1.06	1.05	1.03	3.14
会津若松城	鉄砲	4	平山	1.08	1.09	1.07	3.24
会津若松城[改壱]	鉄砲	5	平山	1.12	1.16	1.11	3.39
山形城	刀	4	平	1.08	1.03	1.13	3.24
山形城[改壱]	刀	5	平	1.12	1.10	1.17	3.39
矢留ノ城	法術	1	平山	1.03	1.01	0.94	2.98
矢留ノ城[改壱]	法術	2	平山	1.04	1.04	0.99	3.07
窪田城	歌舞	1	平山	0.94	1.05	0.99	2.98
窪田城[改壱]	歌舞	2	平山	0.99	1.07	1.01	3.07
久保田城	歌舞	2	平山	0.95	1.10	1.00	3.05
久保田城[改壱]	歌舞	3	平山	0.97	1.15	1.02	3.14
大宝寺城	法術	2	平	1.03	1.00	1.02	3.05
大宝寺城[改壱]	法術	3	平	1.06	1.03	1.05	3.14
鶴ヶ岡城	歌舞	3	平	1.06	1.01	1.05	3.12
鶴ヶ岡城[改壱]	歌舞	4	平	1.10	1.08	1.09	3.27
馬場城	刀	1	平山	1.01	1.01	0.96	2.98
馬場城[改壱]	刀	2	平山	1.04	1.04	0.99	3.07
水戸城	石弓	4	平山	1.06	1.06	1.12	3.24
水戸城[改壱]	石弓	5	平山	1.10	1.10	1.19	3.39
石倉城	鉄砲	1	平	0.95	1.02	1.01	2.98
石倉城[改壱]	鉄砲	2	平	0.97	1.07	1.01	3.05
厩橋城	鉄砲	2	平	0.99	1.04	1.02	3.05
厩橋城[改壱]	鉄砲	3	平	1.01	1.09	1.04	3.14
前橋城	鉄砲	3	平	1.07	1.03	1.02	3.12
前橋城[改壱]	鉄砲	4	平	1.12	1.08	1.07	3.27
宇都宮城	法術	4	平	1.11	1.07	1.06	3.24
宇都宮城[改壱]	法術	5	平	1.18	1.11	1.10	3.39
飛山城	槌	1	平山	1.01	0.96	1.01	2.98
飛山城[改壱]	槌	2	平山	1.04	0.99	1.04	3.07
小田喜城	槍	1	平山	0.97	1.00	1.01	2.98
小田喜城[改壱]	槍	2	平山	1.00	1.03	1.04	3.07
大多喜城	槍	3	平山	1.02	1.02	1.08	3.12
大多喜城[改壱]	槍	4	平山	1.06	1.06	1.15	3.27
忍城	刀	4	平	1.09	1.07	1.08	3.24
忍城[改壱]	刀	5	平	1.14	1.12	1.13	3.39
本庄城	刀	1	平	1.00	0.99	0.99	2.98
本庄城[改壱]	刀	2	平	1.05	1.01	1.01	3.07
滝山城	石弓	2	平山	1.02	1.00	1.03	3.05
滝山城[改壱]	石弓	3	平山	1.05	1.03	1.06	3.14
小田原城	鉄砲	6	平山水	1.19	1.11	1.18	3.48
小田原城[改壱]	鉄砲	7	平山水	1.24	1.16	1.23	3.63
三崎城	鉄砲	1	平山水	0.95	0.99	1.04	2.98
三崎城[改壱]	鉄砲	2	平山水	0.98	1.02	1.07	3.07
新府城	槍	2	平山	1.00	1.02	1.03	3.05
新府城[改壱]	槍	3	平山	1.02	1.04	1.08	3.14
鍋蓋城	弓	1	平山	1.02	0.97	0.99	2.98
鍋蓋城[改壱]	弓	2	平山	1.04	1.02	1.01	3.07
小諸城	槍	4	平山	1.07	1.07	1.10	3.24
小諸城[改壱]	槍	5	平山	1.11	1.11	1.17	3.39
今川館	弓	1	平	0.99	1.00	0.99	2.98
今川館[改壱]	弓	2	平	1.04	1.02	1.01	3.07
